year,duration,speechiness,tempo,valence,danceability,energy,acousticness,instrumentalness,liveness,loudness,revenue
1999,245.7324731,0.07682183,115.5420755,0.559195489,0.646613721,0.664684532,0.165933543,0.011824935,0.171427672,-6.90487027,0
2000,250.0163077,0.073050589,117.0667513,0.571833182,0.659425264,0.694426504,0.15624394,0.007661234,0.166792764,-6.395508166,0
2001,242.6157905,0.092939904,115.338439,0.579692403,0.649748963,0.691890199,0.150471414,0.012723283,0.178658786,-6.140380485,0
2002,241.7845016,0.099948333,116.7093599,0.578351709,0.632774051,0.715570886,0.154886702,0.009038867,0.156032869,-5.715193671,0
2003,245.5679029,0.108465358,116.5659668,0.566418943,0.633451742,0.70429155,0.165405618,0.008852034,0.17107481,-5.792903484,0
2004,241.1398622,0.109098423,119.1741957,0.562437384,0.630452891,0.708366761,0.16211466,0.006806368,0.176882693,-5.695775981,0
2005,239.8563193,0.113481683,119.6689465,0.548180153,0.640692881,0.694580506,0.145705402,0.005690865,0.1803424,-5.885497352,0
2006,232.2643065,0.106318696,121.3002933,0.549270526,0.634325935,0.713856229,0.132176612,0.003428824,0.192782723,-5.5375011,0
2007,236.801087,0.099411334,124.2637012,0.552039481,0.624221246,0.72312798,0.144204104,0.013158234,0.188134609,-5.397752405,0
2008,234.7422786,0.087484162,125.8740356,0.525378889,0.61332,0.718329899,0.138761131,0.006041707,0.189788768,-5.482027879,0
2009,233.3559888,0.079390132,124.4746998,0.53112489,0.61228941,0.732670076,0.136301451,0.005900326,0.190632792,-5.255680907,13.36
2010,232.450476,0.089242598,121.8442433,0.542565649,0.610958144,0.738945773,0.142075468,0.006313916,0.209666474,-5.295456701,73.9
2011,231.2387759,0.082988227,125.2737143,0.516230574,0.60507028,0.730525154,0.140709343,0.014215653,0.187700179,-5.361387731,187.8
2012,228.5182852,0.082911261,124.6979727,0.524691683,0.623924393,0.730435336,0.119757884,0.007631413,0.186214007,-5.443842021,430.1
2013,235.0397892,0.084121878,123.9395719,0.509103574,0.623347781,0.699022432,0.147379123,0.009527132,0.1847485,-5.722107642,746
2014,228.693256,0.078962787,122.6554925,0.513557134,0.63583913,0.695966779,0.155185991,0.009618477,0.173432411,-5.736816601,1080
2015,219.1824773,0.090414948,125.107411,0.507011684,0.648348527,0.677416799,0.161103202,0.003611722,0.178374084,-5.962023885,1940
2016,218.5109418,0.121763301,120.7681282,0.458312723,0.649793374,0.644287395,0.168921226,0.004282012,0.173149461,-6.31291139,2950
2017,215.316335,0.11646864,121.4536698,0.50356016,0.682884678,0.641846702,0.168600664,0.00412001,0.146379824,-6.151173085,4090
2018,209.3285213,0.125148493,119.6071426,0.454047164,0.687011107,0.636133042,0.179401826,0.003884079,0.167008033,-6.147789964,5260
2019,196.519629,0.12573618,119.5561803,0.499985431,0.693093016,0.623126482,0.223738241,0.007479794,0.162145173,-6.089601966,6760
2020,191.4419629,0.107854679,121.6788865,0.501071951,0.664938608,0.629993615,0.232928941,0.004318146,0.175761637,-6.230147067,7880
2021,190.040592,0.107855722,118.9027411,0.498985967,0.651664169,0.59330361,0.289071268,0.00316961,0.160533515,-7.004055858,9670
